ITEM_ID,ITEM_NAME,MSRP,QUANTITY,DESCRIPTION,COMPANY,BRAND
GW001,"9"" Biodegradable Clamshell",,200 per case,,BHRS,Greenworld
GW002,"7.5"" Biodegradable Clamshell",,200 per case,,BHRS,Greenworld
GW003,"9"" Biodegradable Plate",,500 per case,,BHRS,Greenworld
GW004,10oz. Biodegradable Cups,,1000 per case,,BHRS,Greenworld
GW005,14oz. Biodegradable Cups,,1000 per case,,BHRS,Greenworld
GW006,Biodegradable Forks,,1000 per case,,BHRS,Greenworld
GW007,Biodegradable Spoons,,1000 per case,,BHRS,Greenworld
GW008,Biodegradable Knives,,1000 per case,,BHRS,Greenworld
GW009,21cm Biodegradable Straws,,2000 per case,,BHRS,Greenworld
GW010,25cm Biodegradable Straws,,2000 per case,,BHRS,Greenworld
WS001,Wiese Furniture Cleaner,,,,BHRS,Wiese
WS002,Wiese Disinfectant,,,,BHRS,Wiese
WS003,Wiese Air Freshener,,,,BHRS,Wiese
PL001,Pledge Surface Cleaner,,,,BHRS,Pledge
LS001,Lysol Disinfectant Spray,,,,BHRS,Lysol
SC001,Sunshine Clorix,,,,BHRS,Sunshine
OT001,Extra Absorbant Cotton Mop,,,,BHRS,Other
GS001,Gallon Pouch,,,,BHRS,Genesis
GS002,800ml Puch,,,,BHRS,Genesis
TS001,Paper Towel (350ft),,,,BHRS,SaniTisu
TS002,Toilet Tissue (750ft),,,,BHRS,SaniTisu
TS003,Brown Paper Towl (350ft),,,,BHRS,SaniTisu
TS004,"Toilet Tiussue (450 sheets, 2 ply)",,,,BHRS,SaniTisu
MS001,Mayan Secret Cough Syrup,,,,CSB,Mayan Secret
MS002,Mayan Secret Nutritional Supplement Syrup,,,,CSB,Mayan Secret
MS003,Mayan Secret Vapour Gel,,,,CSB,Mayan Secret
MS004,500ml Alka-Boost,,,,CSB,Mayan Secret
MS005,1 Gallon Alka-Boost,,,,CSB,Mayan Secret
GN001,8oz. Denatured Ethyl Rubbing Alcohol,,,,CSB,Green Nature
GN002,1 Gallon Denatured Ethyl Rubbing Alcohol,,,,CSB,Green Nature
CP001,Citrus Power 16oz. Cleaner,,,,CSB,Citrus Power
CP002,Citrus Power 1 Litre Cleaner,,,,CSB,Citrus Power
CP003,Citrus Power 28oz. Cleaner,,,,CSB,Citrus Power
CP004,Citrus Power Paste,,,,CSB,Citrus Power
CP005,lee cleaner,,,,CSB,Citrus Power
TC001,Tropic Clean 1 Gallon Multi-Purpose Cleaner,,,,CSB,Tropic Clean
TC002,Tropic Clean 1 Gallon Premium Glass Cleaner,,,,CSB,Tropic Clean
